id,marca,modelo,año,moderno,cilindrada,estilo,combustible,transmisión,estado,kilometraje,puertas,pago impuesto,negociable,recibe vehículo,fecha ingreso,veces visto,comentarios,tiene imagen,precio,precio_sugerido,precio_sugerido_generico,difrencia generica
45495570,Toyota,STARLET,1998,Viejo,"1,500 cc",Hatchback,Gasolina,Manual,Excelente,200K-500K,5,SI,SI,NO,23 de Julio del 2020,495,,Si,1500000,0,1476000,-0.016260162601626018
58361297,Honda,PRELUDE,1994,Viejo,"2,200 cc",Sedán,Gasolina,Manual,Bueno,100K-200K,2,SI,SI,NO,28 de Julio del 2020,512,,Si,1500000,0,2005000,0.2518703241895262
31135248,Kia,RIO LS,2003,Regular,"1,493 cc",Sedán,Gasolina,Manual,Regular,<20K,4,SI,SI,NO,28 de Julio del 2020,486,Precio Negociable,Si,1500000,0,1500000,0.0
46190802,Asia,TOPIC,2000,Viejo,"2,700 cc",Microbús/Minivan,Diesel,Manual,Muy Bueno,100K-200K,5,SI,SI,NO,29 de Julio del 2020,440,,Si,1500000,0,1500000,0.0
26785938,Geo,METRO,1997,Viejo,"1,300 cc",Sedán,Gasolina,Automática/Dual,Muy Bueno,200K-500K,5,SI,NO,NO,30 de Julio del 2020,453,YA FUE VENDIDO - YA FUE VENDIDO - YA FUE VENDIDO - YA FUE VENDIDO,Si,1500000,0,1350000,-0.1111111111111111
49623057,Kia,TOWNER,2001,Regular,800 cc,Microbús/Minivan,Gasolina,Manual,Muy Bueno,100K-200K,5,SI,SI,NO,31 de Julio del 2020,559,Precio negociable,Si,1500000,0,2280000,0.34210526315789475
62110037,Asia,TOPIC,1996,Viejo,"2,700 cc",Microbús/Minivan,Diesel,Manual,Bueno,200K-500K,4,SI,SI,SI,31 de Julio del 2020,311,Todo al dia,Si,1500000,0,1500000,0.0
30793068,Suzuki,SIDEKICK,1989,Viejo,"1,500 cc",Todo Terreno 4x4,Gasolina,Manual,Excelente,100K-200K,3,SI,SI,NO,07 de Agosto del 2020,569,Excelente estado detalles de pintura,Si,1500000,0,3093333,0.5150861546429046
1617709,Suzuki,SX4,2013,Moderno,"1,600 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,SI,13 de Agosto del 2020,216,EXCELENTE ESTADO_PRECIO ESPECIAL_BÚSQUENOS EN FACEBOOK COMO TuAutoAquí.,Si,4100000,0,4967045,0.1745595218082381
7457355,BYD,F3,2017,Moderno,"1,600 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,NO,13 de Agosto del 2020,208,VEHICULO FINANCIADO CON CARRO FACIL DE COSTA RICA,Si,4130000,0,3784166,-0.0913897540435594
23786940,Hyundai,ELANTRA  GLS,2010,Regular,"2,000 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,NO,04 de Agosto del 2020,177,Negociab.Gas LP muy economico sin perdidad de potencia. Version USA mil mejor q la tica. pregunteme,Si,4100000,0,2862610,-0.43225937169226686
39791129,Hyundai,ELANTRA,2010,Regular,"1,600 cc",Sedán,Gasolina,Manual,Muy Bueno,200K-500K,4,SI,SI,NO,07 de Agosto del 2020,116,En buen estado al día,Si,4100000,0,2682909,-0.5281919737121162
85402759,Mazda,2,2009,Regular,"1,500 cc",Hatchback,Gasolina,Manual,Excelente,100K-200K,5,SI,SI,NO,10 de Agosto del 2020,95,Es súper económico. Motor en excelente estado. RTV limpio.,Si,4100000,0,4400000,0.06818181818181818
24170373,Toyota,RAV4,2002,Regular,"2,000 cc",Todo Terreno 4x4,Gasolina,Manual,Excelente,100K-200K,5,SI,SI,NO,10 de Agosto del 2020,59,,No,4100000,0,6572802,0.37621732710037514
79340927,Toyota,RAV4,2003,Regular,"2,000 cc",Todo Terreno 4x2,Gasolina,Automática/Dual,Excelente,100K-200K,4,SI,SI,NO,11 de Agosto del 2020,54,Vehiculo en optimas condiciones,No,4100000,0,5159558,0.20535828844253715
78233127,Chrysler,CARAVAN LX,2005,Regular,"3,300 cc",Microbús/Minivan,Gasolina,Automática/Dual,Excelente,100K-200K,5,SI,SI,NO,11 de Agosto del 2020,77,Muy buen estado carro muy cuidado familiar precio Negociable aros de lujo,Si,4100000,0,3650000,-0.1232876712328767
92984214,Honda,CIVIC,2008,Regular,"1,800 cc",Sedán,Gasolina,Automática/Dual,Excelente,100K-200K,2,SI,NO,NO,12 de Agosto del 2020,91,Excelente estado. Llantas nuevas. RVT. Se vende sin racks. Aros lujo. Economico.,Si,4100000,0,4020936,-0.019663083421372535
36645270,Toyota,YARIS,2011,Moderno,"1,600 cc",Hatchback,Gasolina,Automática/Dual,Excelente,50K-100K,2,SI,SI,NO,13 de Agosto del 2020,91,EXCELENTE ESTADO- URGE VENDER-ESCUCHO OFERTAS,Si,4100000,0,6729868,0.39077556944653297
3446707,Geely,LC,2018,Moderno,"1,300 cc",Hatchback,Gasolina,Manual,Excelente,20K-50K,4,SI,SI,SI,08 de Junio del 2020,1086,"Veinsa Usados, recibimos, financiamos, contactenos. Respaldo VEINSA MOTORS",Si,4132867,0,4506573,0.08292465250202316
