"id","marca","modelo","año","moderno","cilindrada","estilo","combustible","transmisión","estado","kilometraje","puertas","pago impuesto","negociable","recibe vehículo","fecha ingreso","veces visto","comentarios","tiene imagen","precio"
"3515185","Hyundai","ELANTRA GLS","2017","Moderno","1,600 cc","Sedán","Gasolina","Manual","Excelente","<20K","4","SI","NO","SI","07 de Julio del 2020","1187","Impecable y hermoso FB: Z MOTORS. Contáctenos x WhatsApp.","Si","8999950"
"8023245","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","09 de Agosto del 2020","74","SEDAN","Si","8983200"
"5245853","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","09 de Agosto del 2020","71","SEDAN","Si","8983200"
"2873579","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","09 de Agosto del 2020","77","SEDAN","Si","8983200"
"5162612","Chery","TIGGO 2","2019","Como Nuevo","1,500 cc","Todo Terreno 4x2","Gasolina","Manual","Excelente","20K-50K","4","SI","SI","NO","11 de Agosto del 2020","148","SIGA ESTRENANDO FINANCIO CERO PRIMA CON BANCO GARANTIA AGENCIA FULL EXTRAS","Si","8983200"
"59568944","Hyundai","TUCSON GLS","2012","Moderno","2,000 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","50K-100K","4","SI","SI","NO","05 de Agosto del 2020","120","Súper chineado.. Impecable. Versión Full.  Asientos cuero. Llantas.","Si","8990000"
"13393537","Hyundai","CRETA","2017","Moderno","1,600 cc","Todo Terreno 4x2","Gasolina","Manual","Excelente","20K-50K","4","SI","SI","NO","05 de Agosto del 2020","216","Comprado en agencia Récord de agencia excelente estado un solo dueño","Si","8990000"
"33791820","Suzuki","GRAND VITARA","2016","Moderno","2,400 cc","Todo Terreno 4x2","Gasolina","Manual","Excelente","20K-50K","5","SI","NO","NO","15 de Junio del 2020","691","COMO NUEVO TIENE QUE VERLO ,POCO KM, CUATRO CILINDROS Y LLANTAS NUEVAS","Si","8999000"
"9382115","Mitsubishi","ASX","2014","Moderno","2,000 cc","Todo Terreno 4x2","Gasolina","Manual","Excelente","50K-100K","4","SI","SI","SI","27 de Junio del 2019","6618","ransmisión manual, aros de lujo, radio original con Bluetooth y AUX, volante multifunc","Si","9000000"
"97192528","Suzuki","BALENO GLX","2018","Moderno","1,400 cc","Hatchback","Gasolina","Manual","Excelente","<20K","5","SI","SI","NO","15 de Enero del 2020","2504","Automóvil nuevo con poco uso amplio en su interior y fantástico. Se vende por motivo de viaje.","Si","9000000"
"90148597","Ssang","Yong STAVIC","2014","Moderno","2,000 cc","Todo Terreno 4x2","Diesel","Automática/Dual","Excelente","50K-100K","5","SI","SI","NO","29 de Enero del 2020","2184","Para nueve pasajeros. Recibo carro solo más de siete pasajeros y mayor a dosmildieciseis.","Si","9000000"
"37075316","Hyundai","CRETA","2016","Moderno","1,600 cc","Todo Terreno 4x2","Gasolina","Manual","Excelente","50K-100K","5","SI","SI","NO","21 de Abril del 2020","1573","ESTA COMO RECIEN SALIDO DE AGENCIA, PRECIO INCLUYE TRASPASO , BENDICIONES","Si","9000000"
"19466707","Nissan","JUKE","2014","Moderno","1,600 cc","Todo Terreno 4x2","Gasolina","Manual","Muy Bueno","50K-100K","4","SI","SI","NO","21 de Abril del 2020","1341","","Si","9000000"
"6072943","Land","Rover DISCOVERY 3","2007","Regular","2,700 cc","Todo Terreno 4x4","Diesel","Automática/Dual","Excelente","100K-200K","5","SI","SI","NO","21 de Abril del 2020","2645","Un solo Dueño Record de Agencia","Si","9000000"
"1646854","Volvo","FE SERIES","1992","Viejo","9,000 cc","Camión 8.0-9.5 ton.","Diesel","Manual","Muy Bueno","<20K","2","SI","SI","NO","28 de Abril del 2020","1717","OFERTA!!!!! PRECIO ESPECIAL","Si","9000000"
"7221266","Toyota","YARIS","2017","Moderno","1,600 cc","Sedán","Gasolina","Manual","Excelente","20K-50K","4","SI","SI","SI","29 de Abril del 2020","1322","se recibe , se financia llamenos segundo numero publicado.","Si","9000000"
"4612567","Mitsubishi","MONTERO SPORT GLS","2010","Regular","2,800 cc","Todo Terreno 4x4","Diesel","Automática/Dual","Excelente","100K-200K","4","SI","SI","NO","18 de Mayo del 2020","2475","Financiamiento Disponible, Excelente Estado, Garantía por Escrito.","Si","9000000"
"11594310","Mazda","3","2017","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","50K-100K","4","SI","SI","NO","18 de Mayo del 2020","2577","","Si","9000000"
"97332575","Toyota","HIACE","2013","Moderno","3,000 cc","Pánel","Diesel","Manual","Muy Bueno","100K-200K","3","SI","SI","SI","20 de Mayo del 2020","1036","FINANCIO SIETE MLLS BUEN ESTADO LLANTAS NUEVAS","Si","9000000"
"65759058","Hyundai","I20 GL","2017","Moderno","1,400 cc","Hatchback","Gasolina","Automática/Dual","Excelente","<20K","4","SI","SI","NO","20 de Mayo del 2020","820","COMO NUEVO VENDO POR VIAJE SOLO DIEZ MIL KILOMETROS SIN CHOQUES SE VENDE PORQUE NO SE USA","Si","9000000"
"8822188","Toyota","TACOMA SR5","2011","Moderno","2,700 cc","Pickup 4x2","Gasolina","Manual","Excelente","100K-200K","2","SI","NO","NO","20 de Mayo del 2020","4053","","Si","9000000"
"99067455","Mitsubishi","MONTERO SPORT GLS","2010","Regular","2,800 cc","Todo Terreno 4x4","Diesel","Manual","Excelente","200K-500K","5","SI","SI","SI","20 de Mayo del 2020","6066","DIESEL INTERCOOLER Turbo se puede recibir. Enviar fotos por whatsapp","Si","9000000"
"8403805","Audi","Q5","2010","Regular","2,000 cc","Todo Terreno 4x4","Diesel","Manual","Excelente","100K-200K","5","SI","SI","NO","09 de Junio del 2020","1187","MAS VEHICULOS EN NUESTRA PAGINA AUTOSFOX.COM","Si","9000000"
"21561424","Suzuki","DZIRE","2019","Como Nuevo","1,200 cc","Sedán","Gasolina","Automática/Dual","Muy Bueno","<20K","5","SI","SI","SI","14 de Junio del 2020","568","Carro SUPER ECONOMICO   se puede recibir de menor valor","Si","9000000"
"6590420","Nissan","TITAN XE","2007","Regular","5,600 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","100K-200K","5","SI","SI","SI","22 de Junio del 2020","827","Financio, Recibo !!! Precio Incluye Traspaso!!! Impecable!!","Si","9000000"
"46429376","Chevrolet","CRUZE","2017","Moderno","1,400 cc","Sedán","Gasolina","Automática/Dual","Muy Bueno","20K-50K","4","SI","NO","NO","24 de Junio del 2020","396","Se puede negociar. Actualmente tiene deuda con Scotiabank. Se cancela y se pone a su nombre.","No","9000000"
"97366840","Toyota","LAND CRUISER","2000","Viejo","4,700 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","100K-200K","4","SI","NO","NO","24 de Junio del 2020","455","","No","9000000"
"9297128","Audi","A3","2015","Moderno","1,200 cc","Sedán","Gasolina","Automática/Dual","Excelente","50K-100K","4","SI","NO","SI","27 de Junio del 2020","2860","Nacional. Un Dueño. FB Z MOTORS. Contactenos x Whatsapp es más fácil !! Pocos kms","Si","9000000"
"91733555","Ford","EDGE","2011","Moderno","3,500 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","100K-200K","5","SI","SI","SI","29 de Junio del 2020","1100","RECIBO--perfecto estado--Llantas nuevas- economico-Carrazo","Si","9000000"
"43813039","Ford","EDGE SEL","2013","Moderno","3,500 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","50K-100K","5","SI","NO","NO","05 de Julio del 2020","1423","Excelente estado","Si","9000000"
"26712660","Hyundai","TUCSON","2012","Moderno","2,400 cc","Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente","100K-200K","4","SI","SI","NO","07 de Julio del 2020","655","el auto es vercion AMERICANA es edicion limite trae ocho bolsas de aire boton de ECO","Si","9000000"
"46526549","Mitsubishi","MONTERO GLS DID TDI","2008","Regular","3,200 cc","Todo Terreno 4x4","Diesel","Automática/Dual","Excelente","100K-200K","5","SI","SI","NO","29 de Junio del 2020","1475","hermosa","Si","9000000"
"25804280","Hyundai","SANTA FE","2012","Moderno","2,400 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","100K-200K","5","SI","SI","NO","03 de Julio del 2020","493","oscarelizon.es","Si","9000000"
"86621978","Toyota","RAV4","2012","Moderno","2,400 cc","Todo Terreno 4x4","Gasolina","Automática/Dual","Excelente","100K-200K","4","SI","SI","NO","06 de Julio del 2020","527","Muy cuidado, excelente estado, precio negociable.","Si","9000000"
"47823710","Hyundai","SANTA FE","2013","Moderno","2,400 cc","Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente","50K-100K","5","SI","SI","NO","06 de Julio del 2020","867","Impecable puedo recibir vehículo de menor valor y vuelto a mi favor","Si","9000000"
"62673681","Toyota","HIACE","2008","Regular","3,000 cc","Microbús/Minivan","Diesel","Manual","Muy Bueno",">500K","4","SI","NO","NO","06 de Julio del 2020","554","Está en buen estado. Está golpeada en el costado izquierdo.","Si","9000000"
"57576685","Kia","RIO","2018","Moderno","1,400 cc","Sedán","Gasolina","Manual","Excelente","50K-100K","4","SI","SI","NO","08 de Julio del 2020","313","","Si","9000000"
"83784089","Toyota","HILUX","1998","Viejo","2,400 cc","Pickup 4x4","Gasolina","Manual","Excelente","200K-500K","4","SI","NO","SI","08 de Julio del 2020","1319","Excelente estado Canopy llantas DF Goodrich treinta cinco Aros American Racing","Si","9000000"
